Local Time,Demand
14Jan2023 16:00:00,"30,256"
14Jan2023 17:00:00,"30,466"
14Jan2023 18:00:00,"31,062"
14Jan2023 19:00:00,"32,183"
14Jan2023 20:00:00,"31,829"
14Jan2023 21:00:00,"31,575"
14Jan2023 22:00:00,"30,664"
14Jan2023 23:00:00,"29,522"
15Jan2023 0:00:00,"28,198"
15Jan2023 1:00:00,"26,712"
15Jan2023 2:00:00,"25,464"
15Jan2023 3:00:00,"24,831"
15Jan2023 4:00:00,"24,485"
15Jan2023 5:00:00,"24,024"
15Jan2023 6:00:00,"24,236"
15Jan2023 7:00:00,"24,771"
15Jan2023 8:00:00,"25,655"
15Jan2023 9:00:00,"26,054"
15Jan2023 10:00:00,"26,902"
15Jan2023 11:00:00,"27,679"
15Jan2023 12:00:00,"28,003"
15Jan2023 13:00:00,"27,931"
15Jan2023 14:00:00,"27,954"
15Jan2023 15:00:00,"28,066"
15Jan2023 16:00:00,"28,920"
15Jan2023 17:00:00,"29,763"
15Jan2023 18:00:00,"30,564"
15Jan2023 19:00:00,"31,959"
15Jan2023 20:00:00,"32,011"
15Jan2023 21:00:00,"31,529"
15Jan2023 22:00:00,"30,658"
15Jan2023 23:00:00,"29,892"
16Jan2023 0:00:00,"28,413"
16Jan2023 1:00:00,"26,782"
16Jan2023 2:00:00,"26,222"
16Jan2023 3:00:00,"25,433"
16Jan2023 4:00:00,"25,178"
16Jan2023 5:00:00,"25,044"
16Jan2023 6:00:00,"25,399"
16Jan2023 7:00:00,"26,763"
16Jan2023 8:00:00,"28,542"
16Jan2023 9:00:00,"29,682"
16Jan2023 10:00:00,"30,314"
16Jan2023 11:00:00,"30,786"
16Jan2023 12:00:00,"30,259"
16Jan2023 13:00:00,"29,777"
16Jan2023 14:00:00,"29,850"
16Jan2023 15:00:00,"29,622"
16Jan2023 16:00:00,"29,586"
16Jan2023 17:00:00,"30,302"
16Jan2023 18:00:00,"31,747"
16Jan2023 19:00:00,"34,125"
16Jan2023 20:00:00,"34,170"
16Jan2023 21:00:00,"33,604"
16Jan2023 22:00:00,"32,809"
16Jan2023 23:00:00,"31,565"
17Jan2023 0:00:00,"29,695"
17Jan2023 1:00:00,"27,779"
17Jan2023 2:00:00,"26,984"
17Jan2023 3:00:00,"26,349"
17Jan2023 4:00:00,"26,078"
17Jan2023 5:00:00,"26,131"
17Jan2023 6:00:00,"26,371"
17Jan2023 7:00:00,"28,175"
17Jan2023 8:00:00,"31,347"
17Jan2023 9:00:00,"32,464"
17Jan2023 10:00:00,"32,747"
17Jan2023 11:00:00,"31,379"
17Jan2023 12:00:00,"30,273"
17Jan2023 13:00:00,"29,262"
17Jan2023 14:00:00,"28,279"
17Jan2023 15:00:00,"27,771"
17Jan2023 16:00:00,"27,224"
17Jan2023 17:00:00,"28,365"
17Jan2023 18:00:00,"30,891"
17Jan2023 19:00:00,"33,733"
17Jan2023 20:00:00,"34,340"
17Jan2023 21:00:00,"34,018"
17Jan2023 22:00:00,"33,245"
17Jan2023 23:00:00,"32,118"
18Jan2023 0:00:00,"30,523"
18Jan2023 1:00:00,"28,982"
18Jan2023 2:00:00,"28,213"
18Jan2023 3:00:00,"27,472"
18Jan2023 4:00:00,"27,272"
18Jan2023 5:00:00,"27,005"
18Jan2023 6:00:00,"27,590"
18Jan2023 7:00:00,"29,481"
18Jan2023 8:00:00,"32,170"
18Jan2023 9:00:00,"33,628"
18Jan2023 10:00:00,"32,962"
18Jan2023 11:00:00,"31,180"
18Jan2023 12:00:00,"29,983"
18Jan2023 13:00:00,"28,742"
18Jan2023 14:00:00,"28,358"
18Jan2023 15:00:00,"27,939"
18Jan2023 16:00:00,"28,059"
18Jan2023 17:00:00,"29,460"
18Jan2023 18:00:00,"31,782"
